Description,value,coefficient_name
,-1.584300550347755,coef_asc_dur_0_4_stops_0out_0in
,-1.8437177422862716,coef_asc_dur_0_4_stops_0out_1in
,-1.5961549241088935,coef_asc_dur_0_4_stops_0out_2in
,-2.645706343306018,coef_asc_dur_0_4_stops_0out_3in
,-2.6374687821826046,coef_asc_dur_0_4_stops_1out_0in
,-2.369760217129084,coef_asc_dur_0_4_stops_1out_1in
,-3.0869175555211545,coef_asc_dur_0_4_stops_1out_2in
,-4.441733147278151,coef_asc_dur_0_4_stops_1out_3in
,-3.085266684962462,coef_asc_dur_0_4_stops_2out_0in
,-3.7236409373227786,coef_asc_dur_0_4_stops_2out_1in
,-4.874832502965381,coef_asc_dur_0_4_stops_2out_2in
,-6.303685207040669,coef_asc_dur_0_4_stops_2out_3in
,-4.804908214317346,coef_asc_dur_0_4_stops_3out_0in
,-5.3281693562077574,coef_asc_dur_0_4_stops_3out_1in
,-5.972753825561855,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-2.2311427615750845,coef_asc_dur_4_8_stops_0out_0in
,-2.151901699543699,coef_asc_dur_4_8_stops_0out_1in
,-2.005802469676716,coef_asc_dur_4_8_stops_0out_2in
,-2.2291662552539355,coef_asc_dur_4_8_stops_0out_3in
,-3.4334906151268028,coef_asc_dur_4_8_stops_1out_0in
,-2.825578809149298,coef_asc_dur_4_8_stops_1out_1in
,-2.461710851935657,coef_asc_dur_4_8_stops_1out_2in
,-3.0640123910131347,coef_asc_dur_4_8_stops_1out_3in
,-2.9967596062639537,coef_asc_dur_4_8_stops_2out_0in
,-3.282808193034409,coef_asc_dur_4_8_stops_2out_1in
,-4.018539813588877,coef_asc_dur_4_8_stops_2out_2in
,-4.812594975063047,coef_asc_dur_4_8_stops_2out_3in
,-4.477283144057342,coef_asc_dur_4_8_stops_3out_0in
,-5.585983611552033,coef_asc_dur_4_8_stops_3out_1in
,-5.956855970704052,coef_asc_dur_4_8_stops_3out_2in
,-7.029544934926386,coef_asc_dur_4_8_stops_3out_3in
,-2.7929165533312,coef_asc_dur_8_24_stops_0out_0in
,-3.114097228944364,coef_asc_dur_8_24_stops_0out_1in
,-2.331885755801361,coef_asc_dur_8_24_stops_0out_2in
,-1.956766654151934,coef_asc_dur_8_24_stops_0out_3in
,-3.2945249853268783,coef_asc_dur_8_24_stops_1out_0in
,-2.898966525730154,coef_asc_dur_8_24_stops_1out_1in
,-2.842036715477593,coef_asc_dur_8_24_stops_1out_2in
,-2.71040300882957,coef_asc_dur_8_24_stops_1out_3in
,-4.010940902942787,coef_asc_dur_8_24_stops_2out_0in
,-3.6404248945322477,coef_asc_dur_8_24_stops_2out_1in
,-3.1096106627671514,coef_asc_dur_8_24_stops_2out_2in
,-4.5357837241810515,coef_asc_dur_8_24_stops_2out_3in
,-5.481858181848582,coef_asc_dur_8_24_stops_3out_0in
,-4.202919818625898,coef_asc_dur_8_24_stops_3out_1in
,-6.107683473850841,coef_asc_dur_8_24_stops_3out_2in
,-4.585056038740487,coef_asc_dur_8_24_stops_3out_3in
