coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_WALKACCESS,0.5,T
coef_nest_PNRACCESS,0.5,T
coef_nest_KNRACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_othmaint_social,-0.02,F
coef_ivt_work,-0.02,F
coef_ivt_univ_school,-0.03,F
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.03,F
coef_age1619_da,0.0,F
coef_age010_trn,0.0,F
coef_age16p_sr,0.0,F
coef_hhsize1_sr,-0.73,F
coef_hhsize2_sr,0.0,F
coef_walktimeshort_atwork,1.35,F
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_biketimeshort_atwork,2.7,F
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4.0,T
coef_dtim_atwork,1.35,F
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_ivt_pmov_multiplier,1.0,T
coef_ivt_stcar_multiplier,0.9,T
coef_ivt_brt_multiplier,0.9,T
coef_ivt_urb_multiplier,0.8,T
coef_ivt_com_multiplier,0.7,T
coef_long_iwait_atwork,0.67,F
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1.0,T
coef_short_iwait_atwork,1.35,F
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wacc_atwork,1.35,F
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_waux_atwork,1.35,F
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wegr_atwork,1.35,F
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_xwait_atwork,1.35,F
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_bike_ASC_walk_atwork,0.0,F
coef_bike_ASC_walk_eatout,0.0,F
coef_bike_ASC_walk_escort,0.0,F
coef_bike_ASC_walk_othdiscr,0.0,F
coef_bike_ASC_walk_othmaint,0.0,F
coef_bike_ASC_walk_school,0.0,F
coef_bike_ASC_walk_shopping,0.0,F
coef_bike_ASC_walk_social,0.0,F
coef_bike_ASC_walk_univ,0.0,F
coef_bike_ASC_walk_work,0.0,F
coef_joint_sr2_ASC_walk,-2.670434238,F
coef_joint_sr3p_ASC_sr2,5.16089494300816,F
coef_joint_sr3p_ASC_walk,-1.3963454599301088,F
coef_joint_walk_transit_ASC_sr2,-0.29671824727643636,F
coef_joint_walk_transit_ASC_sr3p,1.987381894150943,F
coef_joint_walk_transit_ASC_walk,7.270894272523597,F
coef_joint_walk_transit_ASC_taxi,-6.0,F
coef_joint_walk_transit_ASC_tnc_single,-6.0,F
coef_joint_walk_transit_ASC_tnc_shared,-6.0,F
coef_joint_pnr_ASC_taxi,-6.0,F
coef_joint_pnr_ASC_tnc_single,-6.0,F
coef_joint_pnr_ASC_tnc_shared,-6.0,F
coef_joint_knr_ASC_taxi,-2.0,F
coef_joint_knr_ASC_tnc_single,-2.0,F
coef_joint_knr_ASC_tnc_shared,-2.0,F
coef_schoolbus_ASC_sr2_atwork,0.0,F
coef_schoolbus_ASC_sr2_eatout,0.0,F
coef_schoolbus_ASC_sr2_escort,0.0,F
coef_schoolbus_ASC_sr2_othdiscr,0.0,F
coef_schoolbus_ASC_sr2_othmaint,0.0,F
coef_schoolbus_ASC_sr2_school,-7.993295787892883,F
coef_schoolbus_ASC_sr2_shopping,0.0,F
coef_schoolbus_ASC_sr2_social,0.0,F
coef_schoolbus_ASC_sr2_univ,0.0,F
coef_schoolbus_ASC_sr2_work,0.0,F
coef_schoolbus_ASC_sr3p_atwork,0.0,F
coef_schoolbus_ASC_sr3p_eatout,0.0,F
coef_schoolbus_ASC_sr3p_escort,0.0,F
coef_schoolbus_ASC_sr3p_othdiscr,0.0,F
coef_schoolbus_ASC_sr3p_othmaint,0.0,F
coef_schoolbus_ASC_sr3p_school,-7.932280693935852,F
coef_schoolbus_ASC_sr3p_shopping,0.0,F
coef_schoolbus_ASC_sr3p_social,0.0,F
coef_schoolbus_ASC_sr3p_univ,0.0,F
coef_schoolbus_ASC_sr3p_work,0.0,F
coef_schoolbus_ASC_walk_atwork,0.0,F
coef_schoolbus_ASC_walk_eatout,0.0,F
coef_schoolbus_ASC_walk_escort,0.0,F
coef_schoolbus_ASC_walk_othdiscr,0.0,F
